Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M0,GO:0045685,regulation of glial cell differentiation,3/51,80/18805,0.0375,13.827205882352942,5.995555108743149,0.0013328121599818852,0.021144274266831263,0.013863148782684015,3280/3398/3400,3
M0,GO:0051960,regulation of nervous system development,6/51,454/18805,0.013215859030837005,4.873024099507645,4.356237122663685,0.001375672363995386,0.021640829121003045,0.014188712750275279,23767/3280/3398/3400/4747/57142,6
M0,GO:0071560,cellular response to transforming growth factor beta stimulus,5/51,308/18805,0.016233766233766232,5.985803412274,4.600691514493797,0.001446824864804637,0.02248313661445663,0.014740967888245858,10370/1601/2353/3397/3725,5
M0,GO:0006700,C21-steroid hormone biosynthetic process,2/51,21/18805,0.09523809523809523,35.11671335200747,8.157292731553397,0.0014652471511558275,0.02248313661445663,0.014740967888245858,1601/1958,2
M0,GO:0010566,regulation of ketone biosynthetic process,2/51,21/18805,0.09523809523809523,35.11671335200747,8.157292731553397,0.0014652471511558275,0.02248313661445663,0.014740967888245858,1601/1958,2
M0,GO:0071559,response to transforming growth factor beta,5/51,315/18805,0.015873015873015872,5.852785558667912,4.529405210383162,0.0015972070008129448,0.023716636632146137,0.015549706653780023,10370/1601/2353/3397/3725,5
M0,GO:0006883,intracellular sodium ion homeostasis,2/51,22/18805,0.09090909090909091,33.520499108734406,7.958831624376716,0.0016089812245099141,0.023716636632146137,0.015549706653780023,481/486,2
M0,GO:0036376,sodium ion export across plasma membrane,2/51,22/18805,0.09090909090909091,33.520499108734406,7.958831624376716,0.0016089812245099141,0.023716636632146137,0.015549706653780023,481/486,2
M0,GO:0072234,metanephric nephron tubule development,2/51,22/18805,0.09090909090909091,33.520499108734406,7.958831624376716,0.0016089812245099141,0.023716636632146137,0.015549706653780023,3280/7849,2
M0,GO:1902004,positive regulation of amyloid-beta formation,2/51,22/18805,0.09090909090909091,33.520499108734406,7.958831624376716,0.0016089812245099141,0.023716636632146137,0.015549706653780023,348/1191,2
M0,GO:0034248,regulation of amide metabolic process,3/51,86/18805,0.03488372093023256,12.8625170998632,5.7497373764846325,0.0016413268036865785,0.02400440450391621,0.01573838037087624,348/1191/57142,3
M0,GO:0031345,negative regulation of cell projection organization,4/51,188/18805,0.02127659574468085,7.845223195661243,4.91897870066811,0.0016754992834577122,0.024062499132483317,0.01577646985406857,348/1601/3280/57142,4
